Data_padrao;Regiao;Valor
2004-01-01;Nordeste;3719426.79
2004-01-01;Norte;1795206.56
2004-01-01;Sistemas Isolados;537166.3300000001
2004-01-01;Sudeste/C.Oeste;16416445.299999999
2004-01-01;Sul;4510113.04
2004-01-01;TOTAL BRASIL;26978358.020000007
2004-02-01;Nordeste;3444707.48
2004-02-01;Norte;1707570.83
2004-02-01;Sistemas Isolados;515912.1499999999
2004-02-01;Sudeste/C.Oeste;16149752.450000001
2004-02-01;Sul;4690227.859999999
2004-02-01;TOTAL BRASIL;26508170.77
2004-03-01;Nordeste;3629039.56
2004-03-01;Norte;1815858.3800000001
2004-03-01;Sistemas Isolados;525471.52
2004-03-01;Sudeste/C.Oeste;16415189.549999999
2004-03-01;Sul;4898770.4
2004-03-01;TOTAL BRASIL;27284329.409999996
2004-04-01;Nordeste;3733031.14
2004-04-01;Norte;1813827.84
2004-04-01;Sistemas Isolados;538284.47
2004-04-01;Sudeste/C.Oeste;17087727.760999996
2004-04-01;Sul;4873311.140000001
2004-04-01;TOTAL BRASIL;28046182.351
2004-05-01;Nordeste;3671927.0600000005
2004-05-01;Norte;1864450.35
2004-05-01;Sistemas Isolados;536324.74
2004-05-01;Sudeste/C.Oeste;16448778.17
2004-05-01;Sul;4723026.16
2004-05-01;TOTAL BRASIL;27244506.479999993
2004-06-01;Nordeste;3678192.44
2004-06-01;Norte;1855964.81
2004-06-01;Sistemas Isolados;539349.62
2004-06-01;Sudeste/C.Oeste;16452891.049999997
2004-06-01;Sul;4556563.56
2004-06-01;TOTAL BRASIL;27082961.479999997
2004-07-01;Nordeste;3633963.6
2004-07-01;Norte;1880414.32
2004-07-01;Sistemas Isolados;552987.79
2004-07-01;Sudeste/C.Oeste;16679846.070000002
2004-07-01;Sul;4598792.890000001
2004-07-01;TOTAL BRASIL;27346004.67
2004-08-01;Nordeste;3680491.54
2004-08-01;Norte;1955054.8199999998
2004-08-01;Sistemas Isolados;559476.95
2004-08-01;Sudeste/C.Oeste;16808652.04
2004-08-01;Sul;4653182.4399999995
2004-08-01;TOTAL BRASIL;27656857.789999995
2004-09-01;Nordeste;3823779.5800000005
2004-09-01;Norte;1877031.9300000002
2004-09-01;Sistemas Isolados;583883.24
2004-09-01;Sudeste/C.Oeste;17293344.91
2004-09-01;Sul;4654411.58
2004-09-01;TOTAL BRASIL;28232451.24000001
2004-10-01;Nordeste;3870290.34
2004-10-01;Norte;1934410.53
2004-10-01;Sistemas Isolados;605454.49
2004-10-01;Sudeste/C.Oeste;17555268.079999994
2004-10-01;Sul;4590697.5
2004-10-01;TOTAL BRASIL;28556120.939999994
2004-11-01;Nordeste;3961920.5500000003
2004-11-01;Norte;1895128.83
2004-11-01;Sistemas Isolados;598478.6199999999
2004-11-01;Sudeste/C.Oeste;17382176.82
2004-11-01;Sul;4529419.23
2004-11-01;TOTAL BRASIL;28367124.049999993
2004-12-01;Nordeste;4011821.3599999994
2004-12-01;Norte;1921259.3699999999
2004-12-01;Sistemas Isolados;603585.3500000001
2004-12-01;Sudeste/C.Oeste;17360225.99
2004-12-01;Sul;4665214.36
2004-12-01;TOTAL BRASIL;28562106.43
2005-01-01;Nordeste;4017487.2300000004
2005-01-01;Norte;1890933.12
2005-01-01;Sistemas Isolados;577924.4600000001
2005-01-01;Sudeste/C.Oeste;17079676.441
2005-01-01;Sul;4809416.19
2005-01-01;TOTAL BRASIL;28375437.441
2005-02-01;Nordeste;3827106.55
2005-02-01;Norte;1785180.3199999998
2005-02-01;Sistemas Isolados;557547.97
2005-02-01;Sudeste/C.Oeste;16702060.269999998
2005-02-01;Sul;4966585.859999999
2005-02-01;TOTAL BRASIL;27838480.970000003
2005-03-01;Nordeste;3936071.8500000006
2005-03-01;Norte;1884708.76
2005-03-01;Sistemas Isolados;568773.58
2005-03-01;Sudeste/C.Oeste;17139204.108999997
2005-03-01;Sul;5069873.21
2005-03-01;TOTAL BRASIL;28598631.508999996
2005-04-01;Nordeste;3951642.6799999992
2005-04-01;Norte;1828608.4500000002
2005-04-01;Sistemas Isolados;575803.98
2005-04-01;Sudeste/C.Oeste;18002438.66
2005-04-01;Sul;4997008.14
2005-04-01;TOTAL BRASIL;29355501.910000008
2005-05-01;Nordeste;3976607.7600000002
2005-05-01;Norte;1905814.4700000002
2005-05-01;Sistemas Isolados;572978.74
2005-05-01;Sudeste/C.Oeste;17226929.06
2005-05-01;Sul;4799820.58
2005-05-01;TOTAL BRASIL;28482150.609999996
2005-06-01;Nordeste;3811735.57
2005-06-01;Norte;1890130.05
2005-06-01;Sistemas Isolados;593222.6
2005-06-01;Sudeste/C.Oeste;17270769.91
2005-06-01;Sul;4760323.789999999
2005-06-01;TOTAL BRASIL;28326181.920000013
2005-07-01;Nordeste;3873384.61
2005-07-01;Norte;1913977.65
2005-07-01;Sistemas Isolados;604373.03
2005-07-01;Sudeste/C.Oeste;17206019.77
2005-07-01;Sul;4724562.06
2005-07-01;TOTAL BRASIL;28322317.11999999
2005-08-01;Nordeste;3953202.0500000003
2005-08-01;Norte;1941091.23
2005-08-01;Sistemas Isolados;599991.8099999999
2005-08-01;Sudeste/C.Oeste;17526410.728999995
2005-08-01;Sul;4743658.99
2005-08-01;TOTAL BRASIL;28764354.809000008
2005-09-01;Nordeste;3993509.4999999995
2005-09-01;Norte;1914331.77
2005-09-01;Sistemas Isolados;637941.1599999999
2005-09-01;Sudeste/C.Oeste;18135214.410000004
2005-09-01;Sul;4654131.24
2005-09-01;TOTAL BRASIL;29335128.080000013
2005-10-01;Nordeste;4056076.6100000003
2005-10-01;Norte;1984394.72
2005-10-01;Sistemas Isolados;634364.3
2005-10-01;Sudeste/C.Oeste;17801714.07
2005-10-01;Sul;4668762.35
2005-10-01;TOTAL BRASIL;29145312.05000001
2005-11-01;Nordeste;4133520.65
2005-11-01;Norte;1961497.8099999998
2005-11-01;Sistemas Isolados;639584.3999999999
2005-11-01;Sudeste/C.Oeste;17804671.93
2005-11-01;Sul;4748342.43
2005-11-01;TOTAL BRASIL;29287617.219999995
2005-12-01;Nordeste;4144830.61
2005-12-01;Norte;2044857.0
2005-12-01;Sistemas Isolados;616390.6599999999
2005-12-01;Sudeste/C.Oeste;17750324.92
2005-12-01;Sul;4948742.880000002
2005-12-01;TOTAL BRASIL;29505146.070000004
2006-01-01;Nordeste;4096942.4999999995
2006-01-01;Norte;1983974.69
2006-01-01;Sistemas Isolados;573677.52
2006-01-01;Sudeste/C.Oeste;17298716.14
2006-01-01;Sul;4927599.7700000005
2006-01-01;TOTAL BRASIL;28880910.62
2006-02-01;Nordeste;3946336.1799999997
2006-02-01;Norte;1845538.12
2006-02-01;Sistemas Isolados;572318.23
2006-02-01;Sudeste/C.Oeste;17832071.64
2006-02-01;Sul;5187222.33
2006-02-01;TOTAL BRASIL;29383486.499999993
2006-03-01;Nordeste;4159994.68
2006-03-01;Norte;1997492.42
2006-03-01;Sistemas Isolados;573765.3300000001
2006-03-01;Sudeste/C.Oeste;17955065.909999996
2006-03-01;Sul;5211509.389999999
2006-03-01;TOTAL BRASIL;29897827.73
2006-04-01;Nordeste;4031775.27
2006-04-01;Norte;1979412.75
2006-04-01;Sistemas Isolados;593408.75
2006-04-01;Sudeste/C.Oeste;18220813.37
2006-04-01;Sul;5062542.87
2006-04-01;TOTAL BRASIL;29887953.009999998
2006-05-01;Nordeste;3975978.0000000005
2006-05-01;Norte;2002934.46
2006-05-01;Sistemas Isolados;583257.27
2006-05-01;Sudeste/C.Oeste;17555727.83
2006-05-01;Sul;4807141.0
2006-05-01;TOTAL BRASIL;28925038.559999995
2006-06-01;Nordeste;3941535.74
2006-06-01;Norte;2006597.46
2006-06-01;Sistemas Isolados;597955.3600000001
2006-06-01;Sudeste/C.Oeste;17642923.27
2006-06-01;Sul;4879785.7700000005
2006-06-01;TOTAL BRASIL;29068797.599999994
2006-07-01;Nordeste;3907604.2199999997
2006-07-01;Norte;2057708.8099999998
2006-07-01;Sistemas Isolados;622175.53
2006-07-01;Sudeste/C.Oeste;17678947.569999997
2006-07-01;Sul;4847373.099999999
2006-07-01;TOTAL BRASIL;29113809.229999993
2006-08-01;Nordeste;4055590.75
2006-08-01;Norte;2119573.2600000002
2006-08-01;Sistemas Isolados;630911.04
2006-08-01;Sudeste/C.Oeste;18122199.999999996
2006-08-01;Sul;4957961.01
2006-08-01;TOTAL BRASIL;29886236.06
2006-09-01;Nordeste;4079746.0900000003
2006-09-01;Norte;2099682.81
2006-09-01;Sistemas Isolados;673535.88
2006-09-01;Sudeste/C.Oeste;18222163.329000004
2006-09-01;Sul;4841502.43
2006-09-01;TOTAL BRASIL;29916630.53900001
2006-10-01;Nordeste;4240864.72
2006-10-01;Norte;2156880.4099999997
2006-10-01;Sistemas Isolados;659544.73
2006-10-01;Sudeste/C.Oeste;18233850.960000005
2006-10-01;Sul;4852384.500000001
2006-10-01;TOTAL BRASIL;30143525.320000004
2006-11-01;Nordeste;4260667.199999999
2006-11-01;Norte;2097589.05
2006-11-01;Sistemas Isolados;661747.29
2006-11-01;Sudeste/C.Oeste;18467168.559999995
2006-11-01;Sul;5043949.260000001
2006-11-01;TOTAL BRASIL;30531121.359999992
2006-12-01;Nordeste;4224038.25
2006-12-01;Norte;2133465.21
2006-12-01;Sistemas Isolados;644480.99
2006-12-01;Sudeste/C.Oeste;18417119.310000002
2006-12-01;Sul;5074875.269999999
2006-12-01;TOTAL BRASIL;30493979.03000001
2007-01-01;Nordeste;4293362.0
2007-01-01;Norte;2129379.0
2007-01-01;Sistemas Isolados;610999.0
2007-01-01;Sudeste/C.Oeste;18462535.0
2007-01-01;Sul;5203429.0
2007-01-01;TOTAL BRASIL;30699704.0
2007-02-01;Nordeste;4072821.0
2007-02-01;Norte;1965130.0
2007-02-01;Sistemas Isolados;613674.0
2007-02-01;Sudeste/C.Oeste;18321107.0
2007-02-01;Sul;5351937.0
2007-02-01;TOTAL BRASIL;30324669.0
2007-03-01;Nordeste;4116069.0
2007-03-01;Norte;2091436.0
2007-03-01;Sistemas Isolados;613844.0
2007-03-01;Sudeste/C.Oeste;19067492.0
2007-03-01;Sul;5424059.0
2007-03-01;TOTAL BRASIL;31312900.0
2007-04-01;Nordeste;4245411.0
2007-04-01;Norte;2088417.0
2007-04-01;Sistemas Isolados;632726.0
2007-04-01;Sudeste/C.Oeste;19659531.0
2007-04-01;Sul;5404659.0
2007-04-01;TOTAL BRASIL;32030744.0
2007-05-01;Nordeste;4227316.0
2007-05-01;Norte;2172209.0
2007-05-01;Sistemas Isolados;637929.0
2007-05-01;Sudeste/C.Oeste;19125622.0
2007-05-01;Sul;5219841.0
2007-05-01;TOTAL BRASIL;31382917.0
2007-06-01;Nordeste;4203769.0
2007-06-01;Norte;2138391.0
2007-06-01;Sistemas Isolados;649524.0
2007-06-01;Sudeste/C.Oeste;18660469.0
2007-06-01;Sul;5114607.0
2007-06-01;TOTAL BRASIL;30766760.0
2007-07-01;Nordeste;4229714.0
2007-07-01;Norte;2187175.0
2007-07-01;Sistemas Isolados;640495.0
2007-07-01;Sudeste/C.Oeste;18386017.0
2007-07-01;Sul;5056898.0
2007-07-01;TOTAL BRASIL;30500299.0
2007-08-01;Nordeste;4283116.0
2007-08-01;Norte;2234128.0
2007-08-01;Sistemas Isolados;659124.0
2007-08-01;Sudeste/C.Oeste;18810120.0
2007-08-01;Sul;5194645.0
2007-08-01;TOTAL BRASIL;31181133.0
2007-09-01;Nordeste;4255922.0
2007-09-01;Norte;2180370.0
2007-09-01;Sistemas Isolados;690497.0
2007-09-01;Sudeste/C.Oeste;19451106.0
2007-09-01;Sul;5157841.0
2007-09-01;TOTAL BRASIL;31735736.0
2007-10-01;Nordeste;4508399.0
2007-10-01;Norte;2260957.0
2007-10-01;Sistemas Isolados;692060.0
2007-10-01;Sudeste/C.Oeste;19433925.0
2007-10-01;Sul;5240394.0
2007-10-01;TOTAL BRASIL;32135735.0
2007-11-01;Nordeste;4586600.0
2007-11-01;Norte;2221822.0
2007-11-01;Sistemas Isolados;703637.0
2007-11-01;Sudeste/C.Oeste;19847522.0
2007-11-01;Sul;5294910.0
2007-11-01;TOTAL BRASIL;32654491.0
2007-12-01;Nordeste;4616989.0
2007-12-01;Norte;2252062.0
2007-12-01;Sistemas Isolados;682025.0
2007-12-01;Sudeste/C.Oeste;19420687.0
2007-12-01;Sul;5333163.0
2007-12-01;TOTAL BRASIL;32304926.0
2008-01-01;Nordeste;4589009.0
2008-01-01;Norte;2176344.27
2008-01-01;Sistemas Isolados;643748.0
2008-01-01;Sudeste/C.Oeste;18955767.0
2008-01-01;Sul;5491078.0
2008-01-01;TOTAL BRASIL;31855946.27
2008-02-01;Nordeste;4439813.0
2008-02-01;Norte;2062094.65
2008-02-01;Sistemas Isolados;632555.0
2008-02-01;Sudeste/C.Oeste;18906931.0
2008-02-01;Sul;5689547.0
2008-02-01;TOTAL BRASIL;31730940.65
2008-03-01;Nordeste;4467010.0
2008-03-01;Norte;2169059.86
2008-03-01;Sistemas Isolados;643022.0
2008-03-01;Sudeste/C.Oeste;19115789.0
2008-03-01;Sul;5723834.0
2008-03-01;TOTAL BRASIL;32118714.86
2008-04-01;Nordeste;4400292.0
2008-04-01;Norte;2116218.29
2008-04-01;Sistemas Isolados;652059.0
2008-04-01;Sudeste/C.Oeste;19179743.0
2008-04-01;Sul;5604344.0
2008-04-01;TOTAL BRASIL;31952656.29
2008-05-01;Nordeste;4535807.0
2008-05-01;Norte;2173036.3899999997
2008-05-01;Sistemas Isolados;674466.0
2008-05-01;Sudeste/C.Oeste;19534316.0
2008-05-01;Sul;5382338.0
2008-05-01;TOTAL BRASIL;32299963.39
2008-06-01;Nordeste;4346576.0
2008-06-01;Norte;2211337.79
2008-06-01;Sistemas Isolados;677641.0
2008-06-01;Sudeste/C.Oeste;19139152.0
2008-06-01;Sul;5368281.0
2008-06-01;TOTAL BRASIL;31742987.79
2008-07-01;Nordeste;4398138.0
2008-07-01;Norte;2273269.0300000003
2008-07-01;Sistemas Isolados;675002.0
2008-07-01;Sudeste/C.Oeste;19384916.0
2008-07-01;Sul;5419027.0
2008-07-01;TOTAL BRASIL;32150352.03
2008-08-01;Nordeste;4451699.0
2008-08-01;Norte;2297753.63
2008-08-01;Sistemas Isolados;731190.0
2008-08-01;Sudeste/C.Oeste;20012703.0
2008-08-01;Sul;5520183.0
2008-08-01;TOTAL BRASIL;33013528.63
2008-09-01;Nordeste;4524420.0
2008-09-01;Norte;2310178.69
2008-09-01;Sistemas Isolados;754347.0
2008-09-01;Sudeste/C.Oeste;19962392.0
2008-09-01;Sul;5412749.0
2008-09-01;TOTAL BRASIL;32964086.69
2008-10-01;Nordeste;4722599.0
2008-10-01;Norte;2385308.38
2008-10-01;Sistemas Isolados;740672.0
2008-10-01;Sudeste/C.Oeste;20343736.0
2008-10-01;Sul;5481462.0
2008-10-01;TOTAL BRASIL;33673777.379999995
2008-11-01;Nordeste;4646554.0
2008-11-01;Norte;2278182.51
2008-11-01;Sistemas Isolados;754472.0
2008-11-01;Sudeste/C.Oeste;20289873.0
2008-11-01;Sul;5441085.0
2008-11-01;TOTAL BRASIL;33410166.509999998
2008-12-01;Nordeste;4604250.0
2008-12-01;Norte;2270448.49
2008-12-01;Sistemas Isolados;704255.0
2008-12-01;Sudeste/C.Oeste;18614294.0
2008-12-01;Sul;5366031.0
2008-12-01;TOTAL BRASIL;31559278.490000002
2009-01-01;Nordeste;4411351.0
2009-01-01;Norte;2258573.0
2009-01-01;Sistemas Isolados;660399.0
2009-01-01;Sudeste/C.Oeste;18056866.799999997
2009-01-01;Sul;5279472.0
2009-01-01;TOTAL BRASIL;30666661.8
2009-02-01;Nordeste;4290763.0
2009-02-01;Norte;1979238.0
2009-02-01;Sistemas Isolados;641064.0
2009-02-01;Sudeste/C.Oeste;18118937.71
2009-02-01;Sul;5465140.0
2009-02-01;TOTAL BRASIL;30495142.71
2009-03-01;Nordeste;4528036.0
2009-03-01;Norte;2109772.0
2009-03-01;Sistemas Isolados;642350.0
2009-03-01;Sudeste/C.Oeste;18954979.509999998
2009-03-01;Sul;5742612.0
2009-03-01;TOTAL BRASIL;31977749.51
2009-04-01;Nordeste;4464527.0
2009-04-01;Norte;2106575.0
2009-04-01;Sistemas Isolados;662345.0
2009-04-01;Sudeste/C.Oeste;19137789.8
2009-04-01;Sul;5671556.0
2009-04-01;TOTAL BRASIL;32042792.8
2009-05-01;Nordeste;4290163.0
2009-05-01;Norte;2150750.0
2009-05-01;Sistemas Isolados;678973.0
2009-05-01;Sudeste/C.Oeste;18559126.9
2009-05-01;Sul;5266440.0
2009-05-01;TOTAL BRASIL;30945452.900000002
2009-06-01;Nordeste;4259862.0
2009-06-01;Norte;2182941.0
2009-06-01;Sistemas Isolados;681152.0
2009-06-01;Sudeste/C.Oeste;18330171.95
2009-06-01;Sul;5261043.0
2009-06-01;TOTAL BRASIL;30715169.95
2009-07-01;Nordeste;4354335.0
2009-07-01;Norte;2254448.0
2009-07-01;Sistemas Isolados;678137.0
2009-07-01;Sudeste/C.Oeste;18723026.23
2009-07-01;Sul;5315045.0
2009-07-01;TOTAL BRASIL;31324991.23
2009-08-01;Nordeste;4563834.0
2009-08-01;Norte;2279943.0
2009-08-01;Sistemas Isolados;739357.0
2009-08-01;Sudeste/C.Oeste;19286883.6
2009-08-01;Sul;5392188.0
2009-08-01;TOTAL BRASIL;32262205.6
2009-09-01;Nordeste;4646286.0
2009-09-01;Norte;2271616.0
2009-09-01;Sistemas Isolados;760014.0
2009-09-01;Sudeste/C.Oeste;19676125.810000002
2009-09-01;Sul;5362624.0
2009-09-01;TOTAL BRASIL;32716665.810000002
2009-10-01;Nordeste;4828396.0
2009-10-01;Norte;2310492.0
2009-10-01;Sistemas Isolados;783998.0
2009-10-01;Sudeste/C.Oeste;20055697.14
2009-10-01;Sul;5440950.0
2009-10-01;TOTAL BRASIL;33419533.139999997
2009-11-01;Nordeste;4770153.0
2009-11-01;Norte;2287224.0
2009-11-01;Sistemas Isolados;578759.0
2009-11-01;Sudeste/C.Oeste;20388868.2
2009-11-01;Sul;5591816.0
2009-11-01;TOTAL BRASIL;33616820.2
2009-12-01;Nordeste;5031179.0
2009-12-01;Norte;2292493.0
2009-12-01;Sistemas Isolados;568805.0
2009-12-01;Sudeste/C.Oeste;20491334.7
2009-12-01;Sul;5739383.0
2009-12-01;TOTAL BRASIL;34123194.7
2010-01-01;Nordeste;4776266.35
2010-01-01;Norte;2304691.0
2010-01-01;Sistemas Isolados;530184.75
2010-01-01;Sudeste/C.Oeste;19950612.3
2010-01-01;Sul;5798706.31
2010-01-01;TOTAL BRASIL;33360460.71
2010-02-01;Nordeste;4706249.0
2010-02-01;Norte;2153625.0
2010-02-01;Sistemas Isolados;522359.75
2010-02-01;Sudeste/C.Oeste;20368177.0
2010-02-01;Sul;5979347.0
2010-02-01;TOTAL BRASIL;33729757.75
2010-03-01;Nordeste;5165046.0
2010-03-01;Norte;2347780.0
2010-03-01;Sistemas Isolados;519973.82
2010-03-01;Sudeste/C.Oeste;20884097.0
2010-03-01;Sul;6199985.0
2010-03-01;TOTAL BRASIL;35116881.82
2010-04-01;Nordeste;4940166.0
2010-04-01;Norte;2309802.0
2010-04-01;Sistemas Isolados;569974.49
2010-04-01;Sudeste/C.Oeste;21223655.0
2010-04-01;Sul;5982263.0
2010-04-01;TOTAL BRASIL;35025860.489999995
2010-05-01;Nordeste;4997391.0
2010-05-01;Norte;2373574.0
2010-05-01;Sistemas Isolados;555372.0
2010-05-01;Sudeste/C.Oeste;20639740.0
2010-05-01;Sul;5730901.0
2010-05-01;TOTAL BRASIL;34296978.0
2010-06-01;Nordeste;4958753.0
2010-06-01;Norte;2369141.0
2010-06-01;Sistemas Isolados;572783.0
2010-06-01;Sudeste/C.Oeste;20616163.0
2010-06-01;Sul;5652619.0
